x,psi
-3,0.330189
-2.98,0.96054
-2.96,-0.301161
-2.94,0.602415
-2.92,-0.812439
-2.9,-0.563339
-2.88,-0.999801
-2.86,0.0439775
-2.84,-0.788547
-2.82,0.633761
-2.8,0.758064
-2.78,0.970866
-2.76,0.216206
-2.74,0.705132
-2.72,-0.411853
-2.7,0.989394
-2.68,0.121422
-2.66,0.879189
-2.64,-0.49748
-2.62,-0.855261
-2.6,-0.918038
-2.58,-0.374299
-2.56,-0.972579
-2.54,0.255894
-2.52,0.960271
-2.5,0.784064
-2.48,0.601645
-2.46,0.99963
-2.44,0.00314561
-2.42,-0.999781
-2.4,-0.596608
-2.38,-0.787953
-2.36,0.634507
-2.34,-0.261971
-2.32,0.971097
-2.3,0.368458
-2.28,-0.98145
-2.26,-0.412732
-2.24,0.989534
-2.22,-0.876174
-2.2,0.878728
-2.18,-0.990288
-2.16,0.417578
-2.14,-0.91842
-2.12,-0.210059
-2.1,-0.972354
-2.08,0.256827
-2.06,-0.638614
-2.04,0.784662
-2.02,-0.0502617
-2,0.999656
-1.98,0.00218089
-1.96,0.816091
-1.94,-0.597382
-1.92,0.307154
-1.9,-0.958771
-1.88,-0.26104
-1.86,-0.937902
-1.84,0.214322
-1.82,0.920137
-1.8,-0.413611
-1.78,0.502093
-1.76,-0.876638
-1.74,-0.459929
-1.72,-0.990154
-1.7,0.163757
-1.68,0.982277
-1.66,0.722154
-1.64,0.674165
-1.62,0.406506
-1.6,0.0972661
-1.58,-0.362105
-1.56,-0.0492982
-1.54,0.268551
-1.52,0.55893
-1.5,0.815533
-1.48,0.591117
-1.46,0.306236
-1.44,-0.00997016
-1.42,-0.325156
-1.4,-0.937567
-1.38,-0.77981
-1.36,-0.542285
-1.34,-0.249291
-1.32,0.501259
-1.3,0.202437
-1.28,-0.117092
-1.26,-0.990018
-1.24,-0.894887
-1.22,-0.708218
-1.2,-0.449106
-1.18,0.904021
-1.16,0.992748
-1.14,0.979927
-1.12,0.86687
-1.1,-0.519237
-1.08,-0.841896
-1.06,-0.628467
-1.04,0.792725
-1.02,0.944633
-1,-0.759449
-0.98,0.746425
-0.96,0.435648
-0.94,-0.453376
-0.92,0.470927
-0.9,-0.977406
-0.88,0.973031
-0.86,-0.968276
-0.84,0.614398
-0.82,-0.00501125
-0.8,-0.0147799
-0.78,0.622077
-0.76,-0.63745
-0.74,0.975238
-0.72,-0.907454
-0.7,0.898961
-0.68,0.48231
-0.66,0.152723
-0.64,-0.724242
-0.62,0.737747
-0.6,-0.996436
-0.58,0.840737
-0.56,-0.829857
-0.54,0.316691
-0.52,-0.297857
-0.5,-0.346808
-0.48,0.847245
-0.46,-0.857592
-0.44,0.993235
-0.42,-0.898443
-0.4,0.701862
-0.38,-0.425764
-0.36,-0.215111
-0.34,0.52695
-0.32,-0.779088
-0.3,0.94296
-0.28,-0.950104
-0.26,0.792786
-0.24,-0.545651
-0.22,0.236696
-0.2,0.255576
-0.18,0.8582
-0.16,-0.979899
-0.14,0.956346
-0.12,-0.80521
-0.1,-0.49534
-0.08,-0.100253
-0.06,0.312081
-0.04,0.670726
-0.02,0.913982
0,1
0.02,0.913982
0.04,0.670726
0.06,0.312081
0.08,-0.100253
0.1,-0.49534
0.12,-0.80521
0.14,0.956346
0.16,-0.979899
0.18,0.8582
0.2,-0.509277
0.22,0.0369295
0.24,0.296727
0.26,-0.596767
0.28,0.829196
0.3,-0.997986
0.32,0.920403
0.34,0.52695
0.36,-0.215111
0.38,-0.425764
0.4,0.701862
0.42,-0.898443
0.44,0.993235
0.46,-0.857592
0.48,0.847245
0.5,-0.346808
0.52,-0.297857
0.54,0.316691
0.56,-0.829857
0.58,0.840737
0.6,-0.996436
0.62,0.737747
0.64,-0.724242
0.66,0.152723
0.68,0.48231
0.7,-0.499552
0.72,0.924489
0.74,-0.931852
0.76,0.959577
0.78,-0.588242
0.8,0.572123
0.82,0.0475021
0.84,0.614398
0.86,-0.968276
0.88,0.973031
0.9,-0.977406
0.92,0.470927
0.94,-0.453376
0.96,0.435648
0.98,0.746425
1,-0.759449
1.02,-0.598928
1.04,0.792725
1.06,0.000251442
1.08,-0.841896
1.1,0.908746
1.12,-0.99738
1.14,0.477543
1.16,0.405625
1.18,-0.988379
1.2,0.872393
1.22,-0.88242
1.24,0.164709
1.26,0.741345
1.28,-0.459072
1.3,0.99565
1.32,-0.680605
1.34,-0.249291
1.36,-0.105975
1.38,-0.77981
1.4,0.971555
1.42,-0.325156
1.44,0.635997
1.46,0.306236
1.48,-0.941399
1.5,0.815533
1.52,-0.955816
1.54,0.268551
1.56,0.600103
1.58,-0.362105
1.6,0.959731
1.62,-0.75458
1.64,-0.145009
1.66,-0.211002
1.68,-0.708899
1.7,0.416701
1.72,-0.990154
1.74,-0.459929
1.76,0.995739
1.78,-0.900244
1.8,0.852489
1.82,-0.981635
1.84,0.369355
1.86,-0.671652
1.88,-0.26104
1.9,0.635252
1.92,0.307154
1.94,0.045905
1.96,0.816091
1.98,-0.561744
2,0.999656
2.02,-0.945428
2.04,0.784662
2.06,0.960002
2.08,0.256827
2.1,0.93638
2.12,-0.210059
2.14,-0.709579
2.16,0.417578
2.18,-0.990288
2.2,0.878728
2.22,-0.876174
2.24,0.989534
2.26,-0.412732
2.28,-0.98145
2.3,0.368458
2.32,-0.670937
2.34,-0.261971
2.36,-0.0929241
2.38,-0.787953
2.4,0.522137
2.42,-0.999781
2.44,-0.562542
2.46,0.99963
2.48,-0.945742
2.5,0.784064
2.52,-0.951879
2.54,0.255894
2.56,-0.578505
2.58,-0.374299
2.6,0.538615
2.62,-0.855261
2.64,0.897912
2.66,0.879189
2.68,-0.875708
2.7,0.989394
2.72,-0.411853
2.74,0.705132
2.76,0.216206
2.78,0.139737
2.8,0.758064
2.82,-0.0919635
2.84,-0.788547
2.86,0.52296
2.88,-0.999801
2.9,0.929381
2.92,-0.812439
2.94,0.965262
2.96,-0.301161
2.98,-0.951583
