x,psi
0,0
1e-12,4442.15
2e-12,8879.92
3e-12,13308.9
4e-12,17724.8
5e-12,22123.2
6e-12,26499.7
7e-12,30850.1
8e-12,35170.1
9e-12,39455.3
1e-11,43701.6
1.1e-11,47904.8
1.2e-11,52060.7
1.3e-11,56165.2
1.4e-11,60214.3
1.5e-11,64204
1.6e-11,68130.3
1.7e-11,71989.3
1.8e-11,75777.4
1.9e-11,79490.6
2e-11,83125.4
2.1e-11,86678.1
2.2e-11,90145.4
2.3e-11,93523.6
2.4e-11,96809.6
2.5e-11,100000
2.6e-11,103092
2.7e-11,106082
2.8e-11,108967
2.9e-11,111745
3e-11,114412
3.1e-11,116967
3.2e-11,119406
3.3e-11,121727
3.4e-11,123928
3.5e-11,126007
3.6e-11,127962
3.7e-11,129790
3.8e-11,131490
3.9e-11,133061
4e-11,134500
4.1e-11,135806
4.2e-11,136978
4.3e-11,138015
4.4e-11,138916
4.5e-11,139680
4.6e-11,140306
4.7e-11,140794
4.8e-11,141142
4.9e-11,141352
5e-11,141421
5.1e-11,141352
5.2e-11,141142
5.3e-11,140794
5.4e-11,140306
5.5e-11,139680
5.6e-11,138916
5.7e-11,138015
5.8e-11,136978
5.9e-11,135806
6e-11,134500
6.1e-11,133061
6.2e-11,131490
6.3e-11,129790
6.4e-11,127962
6.5e-11,126007
6.6e-11,123928
6.7e-11,121727
6.8e-11,119406
6.9e-11,116967
7e-11,114412
7.1e-11,111745
7.2e-11,108967
7.3e-11,106082
7.4e-11,103092
7.5e-11,100000
7.6e-11,96809.6
7.7e-11,93523.6
7.8e-11,90145.4
7.9e-11,86678.1
8e-11,83125.4
8.1e-11,79490.6
8.2e-11,75777.4
8.3e-11,71989.3
8.4e-11,68130.3
8.5e-11,64204
8.6e-11,60214.3
8.7e-11,56165.2
8.8e-11,52060.7
8.9e-11,47904.8
9e-11,43701.6
9.1e-11,39455.3
9.2e-11,35170.1
9.3e-11,30850.1
9.4e-11,26499.7
9.5e-11,22123.2
9.6e-11,17724.8
9.7e-11,13308.9
9.8e-11,8879.92
9.9e-11,4442.15
