x,psi0,psi1,psi2
-1e-09,-0.00155903,-0.00311767,0.00467555
-9.8995e-10,-0.00311767,-0.00623229,0.00934083
-9.79899e-10,-0.00467555,-0.00934083,0.0139856
-9.69849e-10,-0.00623229,-0.0124402,0.0185996
-9.59799e-10,-0.00778751,-0.0155275,0.0231727
-9.49749e-10,-0.00934083,-0.0185996,0.0276948
-9.39698e-10,-0.0108919,-0.0216535,0.0321561
-9.29648e-10,-0.0124402,-0.0246862,0.0365468
-9.19598e-10,-0.0139856,-0.0276948,0.040857
-9.09548e-10,-0.0155275,-0.0306764,0.0450775
-8.99497e-10,-0.0170656,-0.033628,0.0491988
-8.89447e-10,-0.0185996,-0.0365468,0.0532121
-8.79397e-10,-0.020129,-0.0394298,0.0571083
-8.69347e-10,-0.0216535,-0.0422743,0.060879
-8.59296e-10,-0.0231727,-0.0450775,0.0645159
-8.49246e-10,-0.0246862,-0.0478366,0.068011
-8.39196e-10,-0.0261937,-0.050549,0.0713565
-8.29146e-10,-0.0276948,-0.0532121,0.0745452
-8.19095e-10,-0.0291892,-0.0558231,0.0775701
-8.09045e-10,-0.0306764,-0.0583796,0.0804244
-7.98995e-10,-0.0321561,-0.060879,0.0831019
-7.88945e-10,-0.033628,-0.063319,0.0855968
-7.78894e-10,-0.0350917,-0.0656971,0.0879035
-7.68844e-10,-0.0365468,-0.068011,0.0900169
-7.58794e-10,-0.0379929,-0.0702584,0.0919325
-7.48744e-10,-0.0394298,-0.0724372,0.093646
-7.38693e-10,-0.040857,-0.0745452,0.0951537
-7.28643e-10,-0.0422743,-0.0765804,0.0964521
-7.18593e-10,-0.0436812,-0.0785408,0.0975386
-7.08543e-10,-0.0450775,-0.0804244,0.0984106
-6.98492e-10,-0.0464627,-0.0822294,0.0990664
-6.88442e-10,-0.0478366,-0.0839541,0.0995043
-6.78392e-10,-0.0491988,-0.0855968,0.0997235
-6.68342e-10,-0.050549,-0.0871558,0.0997235
-6.58291e-10,-0.0518869,-0.0886297,0.0995043
-6.48241e-10,-0.0532121,-0.0900169,0.0990664
-6.38191e-10,-0.0545242,-0.0913163,0.0984106
-6.28141e-10,-0.0558231,-0.0925263,0.0975386
-6.1809e-10,-0.0571083,-0.093646,0.0964521
-6.0804e-10,-0.0583796,-0.0946742,0.0951537
-5.9799e-10,-0.0596366,-0.0956099,0.093646
-5.8794e-10,-0.060879,-0.0964521,0.0919325
-5.77889e-10,-0.0621066,-0.0972002,0.0900169
-5.67839e-10,-0.063319,-0.0978532,0.0879035
-5.57789e-10,-0.0645159,-0.0984106,0.0855968
-5.47739e-10,-0.0656971,-0.0988719,0.0831019
-5.37688e-10,-0.0668622,-0.0992366,0.0804244
-5.27638e-10,-0.068011,-0.0995043,0.0775701
-5.17588e-10,-0.0691431,-0.0996748,0.0745452
-5.07538e-10,-0.0702584,-0.0997479,0.0713565
-4.97487e-10,-0.0713565,-0.0997235,0.068011
-4.87437e-10,-0.0724372,-0.0996017,0.0645159
-4.77387e-10,-0.0735002,-0.0993826,0.060879
-4.67337e-10,-0.0745452,-0.0990664,0.0571083
-4.57286e-10,-0.0755721,-0.0986533,0.0532121
-4.47236e-10,-0.0765804,-0.0981439,0.0491988
-4.37186e-10,-0.0775701,-0.0975386,0.0450775
-4.27136e-10,-0.0785408,-0.096838,0.040857
-4.17085e-10,-0.0794923,-0.0960427,0.0365468
-4.07035e-10,-0.0804244,-0.0951537,0.0321561
-3.96985e-10,-0.0813368,-0.0941716,0.0276948
-3.86935e-10,-0.0822294,-0.0930976,0.0231727
-3.76884e-10,-0.0831019,-0.0919325,0.0185996
-3.66834e-10,-0.0839541,-0.0906777,0.0139856
-3.56784e-10,-0.0847858,-0.0893342,0.00934083
-3.46734e-10,-0.0855968,-0.0879035,0.00467555
-3.36683e-10,-0.0863868,-0.0863868,-4.54018e-14
-3.26633e-10,-0.0871558,-0.0847858,-0.00467555
-3.16583e-10,-0.0879035,-0.0831019,-0.00934083
-3.06533e-10,-0.0886297,-0.0813368,-0.0139856
-2.96482e-10,-0.0893342,-0.0794923,-0.0185996
-2.86432e-10,-0.0900169,-0.0775701,-0.0231727
-2.76382e-10,-0.0906777,-0.0755721,-0.0276948
-2.66332e-10,-0.0913163,-0.0735002,-0.0321561
-2.56281e-10,-0.0919325,-0.0713565,-0.0365468
-2.46231e-10,-0.0925263,-0.0691431,-0.040857
-2.36181e-10,-0.0930976,-0.0668622,-0.0450775
-2.26131e-10,-0.093646,-0.0645159,-0.0491988
-2.1608e-10,-0.0941716,-0.0621066,-0.0532121
-2.0603e-10,-0.0946742,-0.0596366,-0.0571083
-1.9598e-10,-0.0951537,-0.0571083,-0.060879
-1.8593e-10,-0.0956099,-0.0545242,-0.0645159
-1.75879e-10,-0.0960427,-0.0518869,-0.068011
-1.65829e-10,-0.0964521,-0.0491988,-0.0713565
-1.55779e-10,-0.096838,-0.0464627,-0.0745452
-1.45729e-10,-0.0972002,-0.0436812,-0.0775701
-1.35678e-10,-0.0975386,-0.040857,-0.0804244
-1.25628e-10,-0.0978532,-0.0379929,-0.0831019
-1.15578e-10,-0.0981439,-0.0350917,-0.0855968
-1.05528e-10,-0.0984106,-0.0321561,-0.0879035
-9.54774e-11,-0.0986533,-0.0291892,-0.0900169
-8.54271e-11,-0.0988719,-0.0261937,-0.0919325
-7.53769e-11,-0.0990664,-0.0231727,-0.093646
-6.53266e-11,-0.0992366,-0.020129,-0.0951537
-5.52764e-11,-0.0993826,-0.0170656,-0.0964521
-4.52261e-11,-0.0995043,-0.0139856,-0.0975386
-3.51759e-11,-0.0996017,-0.0108919,-0.0984106
-2.51256e-11,-0.0996748,-0.00778751,-0.0990664
-1.50754e-11,-0.0997235,-0.00467555,-0.0995043
-5.02513e-12,-0.0997479,-0.00155903,-0.0997235
5.02513e-12,-0.0997479,0.00155903,-0.0997235
1.50754e-11,-0.0997235,0.00467555,-0.0995043
2.51256e-11,-0.0996748,0.00778751,-0.0990664
3.51759e-11,-0.0996017,0.0108919,-0.0984106
4.52261e-11,-0.0995043,0.0139856,-0.0975386
5.52764e-11,-0.0993826,0.0170656,-0.0964521
6.53266e-11,-0.0992366,0.020129,-0.0951537
7.53769e-11,-0.0990664,0.0231727,-0.093646
8.54271e-11,-0.0988719,0.0261937,-0.0919325
9.54774e-11,-0.0986533,0.0291892,-0.0900169
1.05528e-10,-0.0984106,0.0321561,-0.0879035
1.15578e-10,-0.0981439,0.0350917,-0.0855968
1.25628e-10,-0.0978532,0.0379929,-0.0831019
1.35678e-10,-0.0975386,0.040857,-0.0804244
1.45729e-10,-0.0972002,0.0436812,-0.0775701
1.55779e-10,-0.096838,0.0464627,-0.0745452
1.65829e-10,-0.0964521,0.0491988,-0.0713565
