x,psi
-2e-09,0
-1.98e-09,0
-1.96e-09,0
-1.94e-09,0
-1.92e-09,0
-1.9e-09,0
-1.88e-09,0
-1.86e-09,0
-1.84e-09,0
-1.82e-09,0
-1.8e-09,0
-1.78e-09,0
-1.76e-09,0
-1.74e-09,0
-1.72e-09,0
-1.7e-09,0
-1.68e-09,0
-1.66e-09,0
-1.64e-09,0
-1.62e-09,0
-1.6e-09,0
-1.58e-09,0
-1.56e-09,0
-1.54e-09,0
-1.52e-09,0
-1.5e-09,0
-1.48e-09,0
-1.46e-09,0
-1.44e-09,0
-1.42e-09,0
-1.4e-09,0
-1.38e-09,0
-1.36e-09,0
-1.34e-09,0
-1.32e-09,0
-1.3e-09,0
-1.28e-09,0
-1.26e-09,0
-1.24e-09,0
-1.22e-09,0
-1.2e-09,0
-1.18e-09,0
-1.16e-09,0
-1.14e-09,0
-1.12e-09,0
-1.1e-09,0
-1.08e-09,0
-1.06e-09,0
-1.04e-09,0
-1.02e-09,0
-1e-09,0
-9.8e-10,0
-9.6e-10,0
-9.4e-10,0
-9.2e-10,0
-9e-10,0
-8.8e-10,0
-8.6e-10,0
-8.4e-10,0
-8.2e-10,0
-8e-10,0
-7.8e-10,0
-7.6e-10,0
-7.4e-10,0
-7.2e-10,0
-7e-10,0
-6.8e-10,0
-6.6e-10,0
-6.4e-10,0
-6.2e-10,0
-6e-10,0
-5.8e-10,0
-5.6e-10,0
-5.4e-10,0
-5.2e-10,0
-5e-10,0
-4.8e-10,0
-4.6e-10,0
-4.4e-10,0
-4.2e-10,0
-4e-10,0
-3.8e-10,0
-3.6e-10,0
-3.4e-10,0
-3.2e-10,0
-3e-10,0
-2.8e-10,0
-2.6e-10,0
-2.4e-10,0
-2.2e-10,0
-2e-10,0
-1.8e-10,0
-1.6e-10,0
-1.4e-10,0
-1.2e-10,0
-1e-10,0
-8e-11,0
-6e-11,0
-4e-11,0
-2e-11,0
0,0
2e-11,0
4e-11,0
6e-11,0
8e-11,0
1e-10,0
1.2e-10,0
1.4e-10,0
1.6e-10,0
1.8e-10,0
2e-10,0
2.2e-10,0
2.4e-10,0
2.6e-10,0
2.8e-10,0
3e-10,0
3.2e-10,0
3.4e-10,0
3.6e-10,0
3.8e-10,0
4e-10,0
4.2e-10,0
4.4e-10,0
4.6e-10,0
4.8e-10,0
5e-10,0
5.2e-10,0
5.4e-10,0
5.6e-10,0
5.8e-10,0
6e-10,0
6.2e-10,0
6.4e-10,0
6.6e-10,0
6.8e-10,0
7e-10,0
7.2e-10,0
7.4e-10,0
7.6e-10,0
7.8e-10,0
8e-10,0
8.2e-10,0
8.4e-10,0
8.6e-10,0
8.8e-10,0
9e-10,0
9.2e-10,0
9.4e-10,0
9.6e-10,0
9.8e-10,0
1e-09,0
1.02e-09,0
1.04e-09,0
1.06e-09,0
1.08e-09,0
1.1e-09,0
1.12e-09,0
1.14e-09,0
1.16e-09,0
1.18e-09,0
1.2e-09,0
1.22e-09,0
1.24e-09,0
1.26e-09,0
1.28e-09,0
1.3e-09,0
1.32e-09,0
1.34e-09,0
1.36e-09,0
1.38e-09,0
1.4e-09,0
1.42e-09,0
1.44e-09,0
1.46e-09,0
1.48e-09,0
1.5e-09,0
1.52e-09,0
1.54e-09,0
1.56e-09,0
1.58e-09,0
1.6e-09,0
1.62e-09,0
1.64e-09,0
1.66e-09,0
1.68e-09,0
1.7e-09,0
1.72e-09,0
1.74e-09,0
1.76e-09,0
1.78e-09,0
1.8e-09,0
1.82e-09,0
1.84e-09,0
1.86e-09,0
1.88e-09,0
1.9e-09,0
1.92e-09,0
1.94e-09,0
1.96e-09,0
1.98e-09,0
