x,psi
-1e-09,-1.60078e-06
-9.8e-10,-1.56876e-06
-9.6e-10,-1.53675e-06
-9.4e-10,-1.50473e-06
-9.2e-10,-1.47272e-06
-9e-10,-1.4407e-06
-8.8e-10,-1.40869e-06
-8.6e-10,-1.37667e-06
-8.4e-10,-1.34466e-06
-8.2e-10,-1.31264e-06
-8e-10,-1.28062e-06
-7.8e-10,-1.24861e-06
-7.6e-10,-1.21659e-06
-7.4e-10,-1.18458e-06
-7.2e-10,-1.15256e-06
-7e-10,-1.12055e-06
-6.8e-10,-1.08853e-06
-6.6e-10,-1.05651e-06
-6.4e-10,-1.0245e-06
-6.2e-10,-9.92484e-07
-6e-10,-9.60468e-07
-5.8e-10,-9.28452e-07
-5.6e-10,-8.96437e-07
-5.4e-10,-8.64421e-07
-5.2e-10,-8.32406e-07
-5e-10,-8.0039e-07
-4.8e-10,-7.68374e-07
-4.6e-10,-7.36359e-07
-4.4e-10,-7.04343e-07
-4.2e-10,-6.72328e-07
-4e-10,-6.40312e-07
-3.8e-10,-6.08296e-07
-3.6e-10,-5.76281e-07
-3.4e-10,-5.44265e-07
-3.2e-10,-5.1225e-07
-3e-10,-4.80234e-07
-2.8e-10,-4.48218e-07
-2.6e-10,-4.16203e-07
-2.4e-10,-3.84187e-07
-2.2e-10,-3.52172e-07
-2e-10,-3.20156e-07
-1.8e-10,-2.8814e-07
-1.6e-10,-2.56125e-07
-1.4e-10,-2.24109e-07
-1.2e-10,-1.92094e-07
-1e-10,-1.60078e-07
-8e-11,-1.28062e-07
-6e-11,-9.60468e-08
-4e-11,-6.40312e-08
-2e-11,-3.20156e-08
0,0
2e-11,3.20156e-08
4e-11,6.40312e-08
6e-11,9.60468e-08
8e-11,1.28062e-07
1e-10,1.60078e-07
1.2e-10,1.92094e-07
1.4e-10,2.24109e-07
1.6e-10,2.56125e-07
1.8e-10,2.8814e-07
2e-10,3.20156e-07
2.2e-10,3.52172e-07
2.4e-10,3.84187e-07
2.6e-10,4.16203e-07
2.8e-10,4.48218e-07
3e-10,4.80234e-07
3.2e-10,5.1225e-07
3.4e-10,5.44265e-07
3.6e-10,5.76281e-07
3.8e-10,6.08296e-07
4e-10,6.40312e-07
4.2e-10,6.72328e-07
4.4e-10,7.04343e-07
4.6e-10,7.36359e-07
4.8e-10,7.68374e-07
5e-10,8.0039e-07
5.2e-10,8.32406e-07
5.4e-10,8.64421e-07
5.6e-10,8.96437e-07
5.8e-10,9.28452e-07
6e-10,9.60468e-07
6.2e-10,9.92484e-07
6.4e-10,1.0245e-06
6.6e-10,1.05651e-06
6.8e-10,1.08853e-06
7e-10,1.12055e-06
7.2e-10,1.15256e-06
7.4e-10,1.18458e-06
7.6e-10,1.21659e-06
7.8e-10,1.24861e-06
8e-10,1.28062e-06
8.2e-10,1.31264e-06
8.4e-10,1.34466e-06
8.6e-10,1.37667e-06
8.8e-10,1.40869e-06
9e-10,1.4407e-06
9.2e-10,1.47272e-06
9.4e-10,1.50473e-06
9.6e-10,1.53675e-06
9.8e-10,1.56876e-06
