x,psi
-1e-09,-9.5183e-07
-9.8e-10,-9.32793e-07
-9.6e-10,-9.13756e-07
-9.4e-10,-8.9472e-07
-9.2e-10,-8.75683e-07
-9e-10,-8.56647e-07
-8.8e-10,-8.3761e-07
-8.6e-10,-8.18573e-07
-8.4e-10,-7.99537e-07
-8.2e-10,-7.805e-07
-8e-10,-7.61464e-07
-7.8e-10,-7.42427e-07
-7.6e-10,-7.2339e-07
-7.4e-10,-7.04354e-07
-7.2e-10,-6.85317e-07
-7e-10,-6.66281e-07
-6.8e-10,-6.47244e-07
-6.6e-10,-6.28208e-07
-6.4e-10,-6.09171e-07
-6.2e-10,-5.90134e-07
-6e-10,-5.71098e-07
-5.8e-10,-5.52061e-07
-5.6e-10,-5.33025e-07
-5.4e-10,-5.13988e-07
-5.2e-10,-4.94951e-07
-5e-10,-4.75915e-07
-4.8e-10,-4.56878e-07
-4.6e-10,-4.37842e-07
-4.4e-10,-4.18805e-07
-4.2e-10,-3.99768e-07
-4e-10,-3.80732e-07
-3.8e-10,-3.61695e-07
-3.6e-10,-3.42659e-07
-3.4e-10,-3.23622e-07
-3.2e-10,-3.04585e-07
-3e-10,-2.85549e-07
-2.8e-10,-2.66512e-07
-2.6e-10,-2.47476e-07
-2.4e-10,-2.28439e-07
-2.2e-10,-2.09403e-07
-2e-10,-1.90366e-07
-1.8e-10,-1.71329e-07
-1.6e-10,-1.52293e-07
-1.4e-10,-1.33256e-07
-1.2e-10,-1.1422e-07
-1e-10,-9.5183e-08
-8e-11,-7.61464e-08
-6e-11,-5.71098e-08
-4e-11,-3.80732e-08
-2e-11,-1.90366e-08
0,0
2e-11,1.90366e-08
4e-11,3.80732e-08
6e-11,5.71098e-08
8e-11,7.61464e-08
1e-10,9.5183e-08
1.2e-10,1.1422e-07
1.4e-10,1.33256e-07
1.6e-10,1.52293e-07
1.8e-10,1.71329e-07
2e-10,1.90366e-07
2.2e-10,2.09403e-07
2.4e-10,2.28439e-07
2.6e-10,2.47476e-07
2.8e-10,2.66512e-07
3e-10,2.85549e-07
3.2e-10,3.04585e-07
3.4e-10,3.23622e-07
3.6e-10,3.42659e-07
3.8e-10,3.61695e-07
4e-10,3.80732e-07
4.2e-10,3.99768e-07
4.4e-10,4.18805e-07
4.6e-10,4.37842e-07
4.8e-10,4.56878e-07
5e-10,4.75915e-07
5.2e-10,4.94951e-07
5.4e-10,5.13988e-07
5.6e-10,5.33025e-07
5.8e-10,5.52061e-07
6e-10,5.71098e-07
6.2e-10,5.90134e-07
6.4e-10,6.09171e-07
6.6e-10,6.28208e-07
6.8e-10,6.47244e-07
7e-10,6.66281e-07
7.2e-10,6.85317e-07
7.4e-10,7.04354e-07
7.6e-10,7.2339e-07
7.8e-10,7.42427e-07
8e-10,7.61464e-07
8.2e-10,7.805e-07
8.4e-10,7.99537e-07
8.6e-10,8.18573e-07
8.8e-10,8.3761e-07
9e-10,8.56647e-07
9.2e-10,8.75683e-07
9.4e-10,8.9472e-07
9.6e-10,9.13756e-07
9.8e-10,9.32793e-07
