x,t,RePsi,ImPsi,AbsPsi,Phase
0,0,0,0,0,0
0.01,0,0.0725221,0.0362521,0.0810782,0.463549
0.02,0,0.144865,0.0723612,0.161932,0.463252
0.03,0,0.216852,0.108185,0.24234,0.462758
0.04,0,0.288304,0.143581,0.322078,0.462063
0.05,0,0.359046,0.178411,0.40093,0.461167
0.06,0,0.428906,0.212537,0.478678,0.460067
0.07,0,0.497714,0.245824,0.555111,0.45876
0.08,0,0.565303,0.278141,0.630024,0.457244
0.09,0,0.631511,0.30936,0.703214,0.455513
0.1,0,0.69618,0.339358,0.774487,0.453563
0.11,0,0.759158,0.368017,0.843657,0.45139
0.12,0,0.820297,0.395223,0.910543,0.448986
0.13,0,0.879457,0.42087,0.974975,0.446346
0.14,0,0.936504,0.444856,1.03679,0.443463
0.15,0,0.991309,0.467086,1.09584,0.440328
0.16,0,1.04375,0.487473,1.15198,0.436932
0.17,0,1.09373,0.505936,1.20508,0.433266
0.18,0,1.14112,0.522402,1.25501,0.429319
0.19,0,1.18584,0.536807,1.30169,0.425079
0.2,0,1.22781,0.549093,1.345,0.420534
0.21,0,1.26694,0.559212,1.38486,0.41567
0.22,0,1.30316,0.567124,1.42121,0.410472
0.23,0,1.33641,0.572798,1.454,0.404922
0.24,0,1.36666,0.576211,1.48316,0.399005
0.25,0,1.39385,0.57735,1.50869,0.392699
0.26,0,1.41795,0.576211,1.53056,0.385984
0.27,0,1.43895,0.572798,1.54877,0.378838
0.28,0,1.45684,0.567124,1.56333,0.371235
0.29,0,1.4716,0.559212,1.57427,0.363148
0.3,0,1.48327,0.549093,1.58164,0.354549
0.31,0,1.49184,0.536807,1.58548,0.345404
0.32,0,1.49735,0.522402,1.58586,0.335681
0.33,0,1.49984,0.505936,1.58287,0.325341
0.34,0,1.49934,0.487473,1.5766,0.314344
0.35,0,1.49593,0.467086,1.56716,0.302646
0.36,0,1.48966,0.444856,1.55467,0.290199
0.37,0,1.4806,0.42087,1.53926,0.276951
0.38,0,1.46884,0.395223,1.52108,0.262847
0.39,0,1.45445,0.368017,1.50029,0.247826
0.4,0,1.43754,0.339358,1.47706,0.231824
0.41,0,1.41821,0.30936,1.45156,0.21477
0.42,0,1.39656,0.278141,1.42399,0.196588
0.43,0,1.37272,0.245824,1.39455,0.1772
0.44,0,1.34678,0.212537,1.36345,0.15652
0.45,0,1.3189,0.178411,1.33091,0.134457
0.46,0,1.28918,0.143581,1.29715,0.110917
0.47,0,1.25776,0.108185,1.2624,0.0858025
0.48,0,1.22478,0.0723612,1.22692,0.0590122
0.49,0,1.19038,0.0362521,1.19093,0.0304448
0.5,0,1.1547,1.86547e-15,1.1547,1.61554e-15
0.51,0,1.11788,-0.0362521,1.11847,-0.032418
0.52,0,1.08006,-0.0723612,1.08248,-0.0668973
0.53,0,1.04139,-0.108185,1.047,-0.103513
0.54,0,1.00201,-0.143581,1.01225,-0.142324
0.55,0,0.962073,-0.178411,0.978476,-0.183361
0.56,0,0.921711,-0.212537,0.945898,-0.226628
0.57,0,0.881068,-0.245824,0.914718,-0.272087
0.58,0,0.840283,-0.278141,0.88512,-0.319657
0.59,0,0.799492,-0.30936,0.857258,-0.369202
0.6,0,0.758827,-0.339358,0.831254,-0.420534
0.61,0,0.718419,-0.368017,0.807194,-0.473407
